BioSample	Environmental_Category
SAMN32811666	Animal-Associated
SAMN32811627	Animal-Associated
SAMN32811626	Animal-Associated
SAMN32811625	Animal-Associated
SAMN32811624	Animal-Associated
SAMN32811623	Animal-Associated
SAMN32811622	Animal-Associated
SAMN32811621	Animal-Associated
SAMN32811620	Animal-Associated
SAMN32811619	Animal-Associated
SAMN32811618	Animal-Associated
SAMN32811617	Animal-Associated
SAMN32811616	Animal-Associated
SAMN32811615	Animal-Associated
SAMN32811614	Animal-Associated
SAMN32811613	Animal-Associated
SAMN32811612	Animal-Associated
SAMN32811611	Animal-Associated
SAMN32811610	Animal-Associated
SAMN32811609	Animal-Associated
SAMN32811608	Animal-Associated
SAMN32811607	Animal-Associated
SAMN32811606	Animal-Associated
SAMN32811605	Animal-Associated
SAMN32811604	Animal-Associated
SAMN32811603	Animal-Associated
SAMN32811602	Animal-Associated
SAMN32811601	Animal-Associated
SAMN32811600	Animal-Associated
SAMN32811599	Animal-Associated
SAMN32811598	Animal-Associated
SAMN32811597	Animal-Associated
SAMN32811596	Animal-Associated
SAMN32811595	Animal-Associated
SAMN32811594	Animal-Associated
SAMN32811593	Animal-Associated
SAMN32811592	Animal-Associated
SAMD00207895	Soil
SAMD00207894	Soil
SAMD00207893	Soil
SAMD00207892	Soil
SAMD00207891	Soil
SAMD00207890	Soil
SAMD00207889	Soil
SAMD00207888	Soil
SAMD00207887	Soil
SAMD00207886	Soil
SAMD00207885	Soil
SAMD00207884	Soil
SAMD00207883	Soil
SAMD00207882	Soil
SAMD00207881	Soil
SAMD00207880	Soil
SAMD00207879	Soil
SAMD00207878	Soil
SAMD00207877	Soil
SAMD00207876	Soil
SAMD00207875	Soil
SAMD00207874	Soil
SAMD00207873	Soil
SAMD00207872	Soil
SAMD00207871	Soil
SAMD00207870	Soil
SAMD00207869	Soil
SAMD00207868	Soil
SAMD00207867	Soil
SAMD00207866	Soil
SAMD00207865	Soil
SAMD00207864	Soil
SAMD00207847	Soil
SAMD00207846	Soil
SAMD00207845	Soil
SAMD00207844	Soil
SAMD00207843	Soil
SAMD00207842	Soil
SAMD00207841	Soil
SAMD00207840	Soil
SAMD00207839	Soil
SAMD00207838	Soil
SAMD00207837	Soil
SAMD00207836	Soil
SAMD00207835	Soil
SAMD00207834	Soil
SAMD00207833	Soil
SAMD00207832	Soil
SAMD00207863	Soil
SAMD00207862	Soil
SAMD00207861	Soil
SAMD00207860	Soil
SAMD00207859	Soil
SAMD00207858	Soil
SAMD00207857	Soil
SAMD00207856	Soil
SAMD00207855	Soil
SAMD00207854	Soil
SAMD00207853	Soil
SAMD00207852	Soil
SAMD00207851	Soil
SAMD00207850	Soil
SAMD00207849	Soil
SAMD00207848	Soil
SAMD00207831	Soil
SAMD00207830	Soil
SAMD00207829	Soil
SAMD00207828	Soil
SAMD00207827	Soil
SAMD00207826	Soil
SAMD00207825	Soil
SAMD00207824	Soil
SAMD00207823	Soil
SAMD00207822	Soil
SAMD00207821	Soil
SAMD00207820	Soil
SAMD00207819	Soil
SAMD00207818	Soil
SAMD00207817	Soil
SAMD00207816	Soil
SAMD00207815	Soil
SAMD00207814	Soil
SAMD00207813	Soil
SAMD00207812	Soil
SAMD00207811	Soil
SAMD00207810	Soil
SAMD00207809	Soil
SAMD00207808	Soil
SAMD00207807	Soil
SAMD00207806	Soil
SAMD00207805	Soil
SAMD00207804	Soil
SAMD00207803	Soil
SAMD00207802	Soil
SAMD00207801	Soil
SAMD00207800	Soil
SAMD00208583	Rhizosphere
SAMD00208582	Rhizosphere
SAMD00208581	Rhizosphere
SAMD00208580	Rhizosphere
SAMD00208579	Rhizosphere
SAMD00208578	Rhizosphere
SAMD00208577	Rhizosphere
SAMD00208576	Rhizosphere
SAMD00208575	Rhizosphere
SAMD00208574	Rhizosphere
SAMD00208573	Rhizosphere
SAMD00208572	Rhizosphere
SAMD00208571	Rhizosphere
SAMD00208570	Rhizosphere
SAMD00208569	Rhizosphere
SAMD00208568	Rhizosphere
SAMD00208567	Rhizosphere
SAMD00208566	Rhizosphere
SAMD00208565	Rhizosphere
SAMD00208564	Rhizosphere
SAMD00208563	Soil
SAMD00208562	Soil
SAMD00208561	Soil
SAMD00208560	Soil
SAMD00208559	Soil
SAMD00208558	Soil
SAMD00208557	Soil
SAMD00208556	Soil
SAMD00208555	Soil
SAMD00208554	Soil
SAMD00208553	Soil
SAMD00208552	Soil
SAMD00208551	Soil
SAMD00208550	Soil
SAMD00208549	Soil
SAMD00208548	Soil
SAMD00208547	Soil
SAMD00208546	Soil
SAMD00208545	Soil
SAMD00208544	Soil
SAMD00208543	Soil
SAMD00197851	Marine Environment
SAMD00197850	Marine Environment
SAMD00197502	Marine Environment
SAMD00197501	Marine Environment
SAMD00197500	Marine Environment
SAMD00197499	Marine Environment
SAMD00197498	Marine Environment
SAMD00197497	Marine Environment
SAMD00197496	Marine Environment
SAMD00197495	Marine Environment
SAMD00197494	Marine Environment
SAMD00197493	Marine Environment
SAMD00197492	Marine Environment
SAMD00197491	Marine Environment
SAMD00197490	Marine Environment
SAMD00197489	Marine Environment
SAMD00197488	Marine Environment
SAMD00197487	Marine Environment
SAMD00197486	Marine Environment
SAMD00197485	Marine Environment
SAMD00197484	Marine Environment
SAMD00197483	Marine Environment
SAMD00197482	Marine Environment
SAMD00197481	Marine Environment
SAMD00197480	Marine Environment
SAMD00197479	Marine Environment
SAMD00197478	Marine Environment
SAMD00197477	Marine Environment
SAMD00197476	Marine Environment
SAMD00197475	Marine Environment
